Athlete,Age,Meet,Date,Distance,Stroke,Course,Time,Split 50m Cumulative,Split 50m Individual,Split 100m Cumulative,Split 100m Individual
Finn Kelly,15,2026 NSW Senior Metropolitan Championships,14/2/2026,100,Freestyle,Long,55.68,26.86,26.86,55.68,28.82
Finn Kelly,15,2025-26 NSW Senior State Age Championships,18/12/2025,100,Freestyle,Long,55.32,26.52,26.52,55.32,28.8
Finn Kelly,15,2025-26 NSW Senior State Age Championships,18/12/2025,100,Freestyle,Long,54.73,26.54,26.54,54.73,28.19
Finn Kelly,15,2025 MSW Long Course Championships,25/10/2025,100,Freestyle,Long,56.35,27.73,27.73,56.35,28.62
Finn Kelly,15,Polding and NSWCCC Swimming 2025,3/4/2025,100,Freestyle,Long,58.36,28.72,28.72,58.36,29.64
Finn Kelly,15,2025 PDSSSC Swimming Championships,7/3/2025,100,Freestyle,Long,58.5,28.6,28.6,58.5,29.9
Finn Kelly,14,2024 New South Wales All Schools Swimming,30/5/2024,100,Freestyle,Long,59.52,28.99,28.99,59.52,30.53
Finn Kelly,14,2024 NSWCCC Swimming,4/4/2024,100,Freestyle,Long,01:00.2,29.5,29.5,01:00.2,30.72
Finn Kelly,14,2024 PDSSSC Swimming Championships,8/3/2024,100,Freestyle,Long,01:01.4,29.8,29.8,01:01.4,31.59
Finn Kelly,13,Norwest LC Qualifying Meet,13/1/2024,100,Freestyle,Long,01:02.4,30.32,30.32,01:02.4,32.03
Finn Kelly,13,NSWCCC Swimming 2023,31/3/2023,100,Freestyle,Long,01:04.9,31.17,31.17,01:04.9,33.69
Finn Kelly,13,SOPAC LC Quaifying Meet,18/3/2023,100,Freestyle,Long,01:05.5,31.76,31.76,01:05.5,33.71
Finn Kelly,13,2023 PDSSSC Swimming Championships,9/3/2023,100,Freestyle,Long,01:05.7,32.04,32.04,01:05.7,33.69
Finn Kelly,12,2022 NBSC LC Qualifying Meet,19/11/2022,100,Freestyle,Long,01:10.2,33.51,33.51,01:10.2,36.71
Finn Kelly,12,2022 NSW LC Qualifying Meet,16/10/2022,100,Freestyle,Long,01:07.5,32.77,32.77,01:07.5,34.78
