Athlete,Age,Meet,Date,Distance,Stroke,Course,Time,Split 50m Cumulative,Split 50m Individual,Split 100m Cumulative,Split 100m Individual,Split 150m Cumulative,Split 150m Individual,Split 200m Cumulative,Split 200m Individual
Finn Kelly,15,2026 NSW Senior Metropolitan Championships,14/2/2026,200,Freestyle,Long,01:58.5,28.05,28.05,58.4,30.35,01:29.0,30.55,01:58.5,29.58
Finn Kelly,15,2025-26 NSW Senior State Age Championships,14/12/2025,200,Freestyle,Long,01:57.6,27.82,27.82,57.14,29.32,01:27.5,30.34,01:57.6,30.12
Finn Kelly,15,2025-26 NSW Senior State Age Championships,14/12/2025,200,Freestyle,Long,01:56.9,28.37,28.37,57.76,29.39,01:27.4,29.66,01:56.9,29.47
Finn Kelly,15,2025 MSW Long Course Championships,26/10/2025,200,Freestyle,Long,01:58.8,28.07,28.07,57.73,29.66,01:28.7,31.01,01:58.8,30.08
Finn Kelly,15,Ripples St Marys 2025 LC Qualifying Meet,9/3/2025,200,Freestyle,Long,02:05.5,28.9,28.9,01:01.0,32.1,01:33.4,32.44,02:05.5,32.04
Finn Kelly,15,2025 PDSSSC Swimming Championships,7/3/2025,200,Freestyle,Long,02:04.7,28.97,28.97,01:00.4,31.39,01:33.2,32.88,02:04.7,31.45
Finn Kelly,15,The Hills 2025 LC Qualifying Meet,2/3/2025,200,Freestyle,Long,02:07.8,28.71,28.71,01:01.2,32.51,01:34.7,33.44,02:07.8,33.18
Finn Kelly,14,2024 New South Wales All Schools Swimming,31/5/2024,200,Freestyle,Long,02:09.1,29.97,29.97,01:02.9,32.9,01:36.6,33.72,02:09.1,32.46
Finn Kelly,14,2024 NSWCCC Swimming,4/4/2024,200,Freestyle,Long,02:09.7,30.14,30.14,01:03.3,33.12,01:36.8,33.49,02:09.7,32.9
Finn Kelly,14,2024 PDSSSC Swimming Championships,8/3/2024,200,Freestyle,Long,02:12.7,30.03,30.03,01:03.0,32.99,01:37.9,34.92,02:12.7,34.8
Finn Kelly,14,2024 NSW Country Championships,18/2/2024,200,Freestyle,Long,02:10.7,29.83,29.83,01:02.7,32.87,01:36.8,34.1,02:10.7,33.93
Finn Kelly,13,2023-24 NSW Senior State Age Championships,13/12/2023,200,Freestyle,Long,02:13.4,30.28,30.28,01:04.0,33.74,01:38.8,34.81,02:13.4,34.6
Finn Kelly,13,SOPAC LC Quaifying Meet,19/11/2023,200,Freestyle,Long,02:13.9,31.14,31.14,01:05.2,34.08,01:40.1,34.84,02:13.9,33.87
Finn Kelly,13,2023 NBSC LC Qualifying Meet,18/11/2023,200,Freestyle,Long,02:11.0,30.13,30.13,01:03.2,33.09,01:37.8,34.58,02:11.0,33.24
Finn Kelly,12,2023 MSW LC Qualifying Meet,8/1/2023,200,Freestyle,Long,02:27.2,33.89,33.89,01:11.0,37.1,01:50.1,39.15,02:27.2,37.06
Finn Kelly,12,Swimming ACT 2022-23 Qualifying Meet 2,26/11/2022,200,Freestyle,Long,02:27.2,33,33,01:11.1,38.05,01:49.8,38.76,02:27.2,37.4
Finn Kelly,12,2022 NBSC LC Qualifying Meet,19/11/2022,200,Freestyle,Long,02:29.3,33.23,33.23,01:11.2,37.93,01:50.7,39.59,02:29.3,38.55
Finn Kelly,12,2022 NSW LC Qualifying Meet,15/10/2022,200,Freestyle,Long,02:25.3,33.58,33.58,01:11.2,37.61,01:48.3,37.11,02:25.3,37.04
